# Data from Sollima et al. (2009), MNRAS, 396,2183
# vel (km/s)	error (km/s)
226.9149	0.3438
221.7848	0.3193
235.2341	0.5210
242.4739	0.3770
223.6837	0.4980
228.3571	0.5150
226.9003	0.3700
228.7701	0.5230
230.8766	0.4870
217.3764	0.4300
234.4142	0.4530
227.0296	0.5660
232.2942	0.4980
221.3338	0.4700
234.7233	0.4410
244.5060	0.4220
226.1378	0.3635
238.6860	0.5180
227.2287	0.3096
230.5679	0.5480
232.4572	0.4120
229.6996	0.3026
225.6538	0.5470
217.9784	0.4140
238.9123	0.4420
224.3721	0.4440
250.8182	0.2913
240.1127	0.5090
235.0536	0.3329
246.7689	0.5030
234.6460	0.3985
234.5902	0.6200
227.6389	0.5770
241.5691	0.5320
236.0650	0.4094
239.1784	0.2477
251.2811	0.4910
208.9179	0.3164
239.6772	0.4910
235.6102	0.5870
232.7165	0.5050
234.6788	0.5710
259.5274	0.5630
229.5306	0.2983
231.1267	0.4240
231.8863	0.5310
229.7774	0.3401
226.2036	0.4550
228.8744	0.6110
220.8277	0.6040
235.4672	0.4040
230.9117	0.3740
218.1578	0.4520
247.9988	0.5570
230.7375	0.6180
226.5722	0.4695
247.1721	0.4180
220.8150	0.5750
235.2805	0.7080
237.4047	0.4974
226.0663	0.5210
239.7591	0.3041
231.9498	0.4480
236.7112	0.4880
239.4952	0.3719
233.9250	0.5360
221.8871	0.3829
232.5589	0.4280
235.7576	0.4638
236.3982	0.7090
235.2979	0.7300
238.9030	0.4979
235.7582	0.4278
232.3693	0.5000
226.5150	0.5140
238.0455	0.3920
231.1853	0.5185
252.1450	0.4590
239.5781	0.5050
237.5169	0.6540
231.0419	0.5830
233.5152	0.3610
233.0578	0.3313
241.4962	0.3729
248.6702	0.5250
238.0400	0.4410
238.4548	0.5370
240.5733	0.5400
237.7999	0.4360
229.2448	0.7890
237.5150	0.7780
245.0023	0.4240
242.9880	0.3350
225.8257	0.6400
250.5892	0.6500
234.3561	0.5680
243.1901	0.4455
235.4766	0.5010
228.1828	1.0080
229.4669	0.5460
208.8717	0.8020
246.7214	0.5390
250.9449	0.7620
231.1815	0.4740
238.3393	0.7920
239.2037	0.4104
227.0072	0.3770
238.2390	0.4070
252.8905	0.3229
237.7480	0.6140
228.0164	0.6200
227.7936	0.3941
227.4044	0.6020
231.8369	0.7340
250.6529	0.3980
232.0497	0.7210
227.3341	0.5500
236.6080	0.4790
