HJD	Epoch	C	O-C	O-C_Error
2459002.527790	3982	2459002.370410	0.157380	0.006790
2459002.524769	3982	2459002.370410	0.154359	0.006310
2459002.530823	3982	2459002.370410	0.160413	0.006780
2459002.542941	3982	2459002.370410	0.172531	0.005900
2459002.518705	3982	2459002.370410	0.148295	0.006520
2459002.509607	3982	2459002.370410	0.139197	0.007210
2459002.554088	3982	2459002.370410	0.183678	0.005550
2459002.536888	3982	2459002.370410	0.166478	0.006430
2459002.515672	3982	2459002.370410	0.145262	0.006730
2459002.491945	3982	2459002.370410	0.121535	0.008450
2459002.506575	3982	2459002.370410	0.136165	0.007140
2459002.562919	3982	2459002.370410	0.192509	0.005240
2459002.496366	3982	2459002.370410	0.125956	0.007730
2459002.487477	3982	2459002.370410	0.117067	0.008350
2459002.469618	3982	2459002.370410	0.099208	0.008360
2459002.580594	3982	2459002.370410	0.210184	0.004900
2459002.571761	3982	2459002.370410	0.201351	0.005220
2459002.549666	3982	2459002.370410	0.179256	0.005730
2459002.545244	3982	2459002.370410	0.174834	0.005750
2459002.539909	3982	2459002.370410	0.169499	0.005860
2459002.500787	3982	2459002.370410	0.130377	0.007000
2459002.483044	3982	2459002.370410	0.112634	0.008230
2459002.478634	3982	2459002.370410	0.108224	0.008320
2459002.474073	3982	2459002.370410	0.103663	0.008310
2459002.465197	3982	2459002.370410	0.094787	0.008670
2459002.512640	3982	2459002.370410	0.142230	0.006810
2459002.567340	3982	2459002.370410	0.196930	0.005150
2459002.460764	3982	2459002.370410	0.090354	0.008420
2459002.456295	3982	2459002.370410	0.085885	0.008350
2459002.447360	3982	2459002.370410	0.076950	0.009080
2459002.624818	3982	2459002.370410	0.254408	0.004230
2459002.533856	3982	2459002.370410	0.163446	0.006630
2459002.602689	3982	2459002.370410	0.232279	0.004600
2459002.451817	3982	2459002.370410	0.081407	0.008360
2459002.607110	3982	2459002.370410	0.236700	0.004360
2459002.585026	3982	2459002.370410	0.214616	0.004600
2459002.503553	3982	2459002.370410	0.133143	0.007460
2459002.589435	3982	2459002.370410	0.219025	0.004660
2459002.615964	3982	2459002.370410	0.245554	0.004350
2459002.593868	3982	2459002.370410	0.223458	0.004500
2459002.611543	3982	2459002.370410	0.241133	0.004310
2459002.558509	3982	2459002.370410	0.188099	0.005800
2459002.629251	3982	2459002.370410	0.258841	0.004110
2459002.598279	3982	2459002.370410	0.227869	0.004490
2459002.576171	3982	2459002.370410	0.205761	0.004950
2459002.620397	3982	2459002.370410	0.249987	0.004270
2459002.521725	3982	2459002.370410	0.151315	0.006520
